parent_smiles,pH_r,temp_C_r,pH_over_TK_r,group_source_key,source_block,source_blocks_joined,n_source_blocks,all_conditions_missing,logK,rep_n,rep_std,smiles_rdkit,compound_name,pH,temp_C,pH_over_TK,src_A_raw_k_with_smiles,src_B_logk_name_only,src_C_logk_with_pH_T,src_D_logk_with_pH_over_TK,kept_for_model
ClCc1ccc(Cl)c(Cl)c1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.301029995663981,1,0.0,ClCc1ccc(Cl)c(Cl)c1,"1,2-DICHLORO-4-(CHLOROMETHYL)BENZENE",,,,1,0,0,0,True
CN(C)c1ccc(N=O)cc1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.361727836017593,1,0.0,CN(C)c1ccc(N=O)cc1,"N,N-DIMETHYL-4-NITROSOANILINE",,,,1,0,0,0,True
O=C([O-])c1ccccc1Br,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.939519252618618,1,0.0,O=C([O-])c1ccccc1Br,2-Bromobenzoate,,,,1,0,0,0,True
O=C(O)C1=C/C(=N\Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C=CC1=O,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.123851640967086,1,0.0,O=C(O)C1=C/C(=N\Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C=CC1=O,Sulfasalazine,,,,1,0,0,0,True
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.146128035678238,1,0.0,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,"3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",,,,1,0,0,0,True
O=C([O-])c1ccccc1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.079181246047625,1,0.0,O=C([O-])c1ccccc1,BENZOATE,,,,1,0,0,0,True
O=C(O)CNCP(=O)(O)O,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.204119982655925,1,0.0,O=C(O)CNCP(=O)(O)O,Glyphosate,,,,1,0,0,0,True
N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.576341350205793,1,0.0,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,Thyroxine,,,,1,0,0,0,True
Clc1cccc(Cl)c1C(Cl)Cl,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.301029995663981,1,0.0,Clc1cccc(Cl)c1C(Cl)Cl,"1,3-dichloro-2-(dichloromethyl)benzene",,,,1,0,0,0,True
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.54157924394658,1,0.0,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,"(6R,7R)-3-(acetyloxymethyl)-8-oxo-7-[(2-thiophen-2-ylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",,,,1,0,0,0,True
Cc1ccccc1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.491361693834273,1,0.0,Cc1ccccc1,methylbenzene,,,,1,0,0,0,True
OC1CCCC1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.44715803134222,1,0.0,OC1CCCC1,Cyclopentanol,,,,1,0,0,0,True
C1COCCOCCOCCOCCOCCO1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.6232492903979,1,0.0,C1COCCOCCOCCOCCOCCO1,18-Crown-6,,,,1,0,0,0,True
Cc1ccc(S(=O)(=O)[O-])cc1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.176091259055681,1,0.0,Cc1ccc(S(=O)(=O)[O-])cc1,4-Methylbenzenesulfonate,,,,1,0,0,0,True
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.990338854787602,1,0.0,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,Trimethoprim,,,,1,0,0,0,True
CC(C)(O)C1CC=CCC1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.662757831681574,1,0.0,CC(C)(O)C1CC=CCC1,2-cyclohex-3-en-1-ylpropan-2-ol,,,,1,0,0,0,True
O=C([O-])CCC(=O)[O-],,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,6.8512583487190755,1,0.0,O=C([O-])CCC(=O)[O-],butanedioate,,,,1,0,0,0,True
C=CC(=O)NCO,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,6.959041392321094,1,0.0,C=CC(=O)NCO,N-(hydroxymethyl)prop-2-enamide,,,,1,0,0,0,True
COC(=O)c1ccccc1O,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.963787827345556,1,0.0,COC(=O)c1ccccc1O,Methyl salicylate,,,,1,0,0,0,True
CCCCCCO,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.204119982655925,1,0.0,CCCCCCO,HEXAN-1-OL,,,,1,0,0,0,True
Nc1ncn[nH]1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.439332693830263,1,0.0,Nc1ncn[nH]1,Amitrole,,,,1,0,0,0,True
O=[N+]([O-])c1ccccc1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,6.0,1,0.0,O=[N+]([O-])c1ccccc1,Nitrobenzene,,,,1,0,0,0,True
C/C=C/C(=O)O,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.886490725172482,1,0.0,C/C=C/C(=O)O,but-2-enoic acid,,,,1,0,0,0,True
COc1cccc(C(=O)[O-])c1OC,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.929418925714293,1,0.0,COc1cccc(C(=O)[O-])c1OC,"2,3-dimethoxybenzoate",,,,1,0,0,0,True
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,10.690196080028514,1,0.0,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,Sulfamerazine,,,,1,0,0,0,True
O=C(c1ccccc1)c1ccccc1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.602059991327963,1,0.0,O=C(c1ccccc1)c1ccccc1,Benzophenone,,,,1,0,0,0,True
C[N+](C)(C)c1ccccc1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.176091259055681,2,0.0,C[N+](C)(C)c1ccccc1.[OH-],trimethyl-phenylazanium hydroxide,,,,1,0,0,0,True
OCCOc1ccccc1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.139879086401237,1,0.0,OCCOc1ccccc1,2-Phenoxyethanol,,,,1,0,0,0,True
Cc1ccccc1Cl,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.230448921378274,1,0.0,Cc1ccccc1Cl,1-Chloro-2-methylbenzene,,,,1,0,0,0,True
[2H]OC,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,7.041392685158225,1,0.0,[2H]OC,deuteriooxymethane,,,,1,0,0,0,True
CCCO,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,7.770852011642144,1,0.0,CCCO,Propan-1-ol,,,,1,0,0,0,True
